customer_id,name,country,kyc_status,risk_rating,created_date
C0001,Neha Shah,India,Verified,Low,2025-02-20
C0002,Neha Gupta,USA,Verified,Medium,2023-10-23
C0003,Arjun Gupta,Singapore,Verified,Medium,2023-07-17
C0004,Meera Doe,USA,Pending,Low,2024-12-25
C0005,Amit Singh,UAE,Verified,Low,2024-11-28
C0006,Anita Doe,India,Verified,Low,2023-06-26
C0007,John Kapoor,India,Verified,Low,2023-02-07
C0008,Neha Joshi,UK,Verified,Medium,2025-01-01
C0009,Rahul Shah,Singapore,Pending,Low,2023-10-01
C0010,Karan Kumar,UK,Verified,High,2024-03-26
C0011,Rohan Shah,UAE,Verified,Low,2024-12-14
C0012,Vikram Singh,USA,Rejected,High,2024-02-26
C0013,Amit Shah,UK,Verified,Low,2023-03-06
C0014,Priya Patel,India,Pending,Low,2023-03-21
C0015,Rahul Joshi,Singapore,Verified,Medium,2023-06-16
C0016,Rahul Kapoor,UAE,Verified,Low,2024-12-13
C0017,Vikram Gupta,Singapore,Pending,Low,2025-02-23
C0018,Meera Shah,Singapore,Verified,Medium,2023-04-08
C0019,Amit Joshi,Singapore,Verified,Medium,2023-10-26
C0020,Sneha Verma,USA,Verified,Low,2023-09-18
C0021,Rohan Joshi,USA,Verified,Low,2024-09-05
C0022,Meera Kumar,Singapore,Pending,Medium,2023-02-12
C0023,Sneha Singh,Singapore,Verified,Medium,2024-05-01
C0024,Anita Kumar,USA,Verified,Low,2024-12-01
C0025,Neha Kapoor,USA,Verified,Low,2023-09-23
C0026,Anita Verma,Singapore,Verified,Low,2023-10-23
C0027,Sneha Gupta,UAE,Verified,Low,2024-11-05
C0028,Rahul Gupta,Singapore,Pending,Medium,2024-09-14
C0029,Meera Verma,UAE,Verified,Medium,2025-02-22
C0030,Amit Doe,Singapore,Rejected,Medium,2023-03-11
C0031,Amit Singh,USA,Pending,Low,2023-11-02
C0032,Rahul Shah,India,Verified,Low,2024-07-24
C0033,Rohan Singh,USA,Pending,High,2023-11-27
C0034,Priya Patel,UK,Verified,High,2023-01-01
C0035,Vikram Kapoor,USA,Verified,Low,2024-03-26
C0036,Priya Verma,Singapore,Pending,Medium,2025-03-01
C0037,John Singh,UAE,Verified,Medium,2024-08-06
C0038,Sneha Kumar,UAE,Pending,Low,2024-02-17
C0039,Vikram Doe,UAE,Verified,Low,2024-06-10
C0040,Priya Singh,UK,Verified,Medium,2024-07-16
C0041,John Sharma,UAE,Verified,Medium,2024-04-20
C0042,Arjun Sharma,USA,Verified,Low,2025-02-01
C0043,Amit Singh,UK,Verified,Low,2023-10-03
C0044,Rohan Kumar,Singapore,Verified,Low,2023-11-23
C0045,John Kapoor,Singapore,Verified,Medium,2024-11-23
C0046,Amit Gupta,UAE,Verified,High,2024-08-10
C0047,Vikram Kapoor,UAE,Pending,Low,2023-08-22
C0048,Vikram Shah,UK,Verified,Low,2024-08-26
C0049,Priya Verma,UAE,Verified,Low,2024-04-01
C0050,Priya Gupta,UK,Rejected,Low,2023-07-06
C0051,Vikram Patel,USA,Verified,High,2024-11-21
C0052,Karan Doe,Singapore,Verified,Medium,2023-03-20
C0053,Anita Shah,UAE,Verified,High,2023-02-20
C0054,Neha Singh,UK,Verified,High,2023-07-29
C0055,Amit Kumar,UK,Verified,Low,2024-07-19
C0056,Arjun Sharma,Singapore,Verified,Low,2023-12-12
C0057,Rohan Sharma,UK,Verified,High,2024-03-14
C0058,Sneha Sharma,UK,Pending,High,2024-01-05
C0059,Amit Verma,UK,Verified,Medium,2024-06-12
C0060,Rohan Gupta,UAE,Verified,Medium,2024-11-15
C0061,Priya Gupta,UK,Verified,Low,2025-01-05
C0062,Karan Kapoor,Singapore,Verified,Low,2023-10-31
C0063,John Kapoor,UK,Verified,Medium,2023-08-24
C0064,Sneha Verma,UAE,Pending,Low,2023-08-22
C0065,Priya Verma,Singapore,Verified,Medium,2024-03-06
C0066,Arjun Shah,India,Verified,Low,2023-10-24
C0067,Priya Singh,India,Verified,Medium,2023-03-12
C0068,Amit Singh,UK,Verified,Medium,2024-06-20
C0069,Rohan Kumar,USA,Verified,High,2023-09-14
C0070,Amit Sharma,India,Verified,Low,2024-11-11
C0071,John Doe,USA,Verified,Medium,2024-07-23
C0072,Anita Verma,USA,Verified,Low,2023-12-19
C0073,Karan Kapoor,UK,Verified,Low,2023-10-09
C0074,Arjun Patel,UAE,Verified,High,2024-09-12
C0075,Vikram Kapoor,Singapore,Rejected,Medium,2024-09-21
C0076,Karan Verma,USA,Verified,Medium,2023-05-20
C0077,Amit Patel,UK,Verified,Low,2024-07-30
C0078,Anita Kumar,UK,Verified,Low,2024-05-20
C0079,Rahul Verma,UK,Pending,Low,2024-08-11
C0080,Meera Shah,Singapore,Verified,Medium,2024-09-29
C0081,Karan Gupta,USA,Verified,Low,2023-04-17
C0082,Arjun Singh,India,Verified,Low,2023-06-15
C0083,Amit Verma,Singapore,Rejected,Low,2023-07-03
C0084,Neha Kumar,India,Pending,Low,2024-10-10
C0085,Sneha Joshi,UAE,Verified,Medium,2024-11-27
C0086,Rahul Kapoor,UAE,Verified,Medium,2023-07-03
C0087,Rohan Doe,India,Verified,Medium,2025-03-02
C0088,Meera Verma,Singapore,Verified,Medium,2025-03-01
C0089,Neha Kapoor,Singapore,Verified,Medium,2025-01-17
C0090,Neha Singh,Singapore,Verified,Low,2023-05-05
C0091,Rahul Singh,UAE,Pending,Low,2023-09-15
C0092,Amit Sharma,Singapore,Verified,Low,2024-10-15
C0093,Neha Singh,USA,Verified,High,2023-09-02
C0094,Sneha Doe,USA,Pending,High,2023-07-14
C0095,Rahul Gupta,UK,Verified,Low,2024-01-03
C0096,Rahul Verma,India,Pending,Low,2024-07-03
C0097,Neha Doe,India,Verified,High,2024-01-24
C0098,Anita Shah,UAE,Verified,Low,2024-10-26
C0099,Rohan Kapoor,USA,Verified,Low,2023-02-12
C0100,Karan Patel,Singapore,Verified,Medium,2023-02-21
C0101,Vikram Joshi,UAE,Verified,Medium,2023-11-07
C0102,Karan Sharma,Singapore,Verified,Medium,2023-02-25
C0103,Neha Joshi,India,Pending,Medium,2023-01-06
C0104,Neha Verma,UK,Verified,Medium,2024-10-19
C0105,Amit Patel,India,Verified,Low,2024-12-04
C0106,Amit Shah,India,Verified,Medium,2023-09-04
C0107,Meera Shah,UAE,Verified,High,2024-08-31
C0108,Neha Doe,Singapore,Pending,Low,2023-09-07
C0109,Priya Kumar,India,Verified,Low,2023-06-26
C0110,Meera Shah,UAE,Pending,Low,2024-10-28
C0111,Karan Patel,UAE,Verified,Medium,2023-03-13
C0112,Arjun Joshi,UAE,Verified,Medium,2025-01-22
C0113,Neha Kapoor,UAE,Pending,Low,2023-07-24
C0114,Anita Verma,India,Verified,Medium,2024-04-15
C0115,Meera Sharma,India,Verified,Low,2024-04-18
C0116,Rahul Verma,UK,Verified,Low,2023-11-26
C0117,Neha Joshi,India,Verified,Low,2024-06-27
C0118,Arjun Joshi,India,Pending,Medium,2024-11-16
C0119,John Sharma,Singapore,Verified,Medium,2023-12-14
C0120,Neha Joshi,UAE,Rejected,Low,2023-11-22
C0121,Karan Kapoor,USA,Pending,Medium,2024-05-16
C0122,Neha Kumar,UAE,Pending,Low,2024-10-28
C0123,Amit Verma,UK,Pending,Medium,2025-02-15
C0124,Arjun Joshi,USA,Verified,Low,2024-05-19
C0125,Amit Joshi,USA,Verified,Medium,2024-09-12
C0126,Rahul Patel,UAE,Pending,Low,2023-11-26
C0127,Anita Singh,USA,Verified,Medium,2024-01-17
C0128,Vikram Patel,Singapore,Verified,Medium,2024-03-26
C0129,Amit Kapoor,UAE,Pending,High,2023-05-29
C0130,Meera Doe,UAE,Verified,Low,2023-07-18
C0131,Neha Sharma,USA,Rejected,Medium,2023-08-27
C0132,Arjun Kapoor,UK,Pending,High,2023-04-07
C0133,Priya Gupta,UAE,Verified,Low,2024-01-30
C0134,Meera Verma,USA,Verified,Medium,2023-07-17
C0135,Vikram Joshi,India,Verified,Low,2023-03-24
C0136,Rahul Singh,UK,Rejected,Medium,2025-01-17
C0137,Karan Patel,India,Pending,Low,2024-02-24
C0138,Arjun Patel,India,Verified,Low,2025-01-01
C0139,Anita Doe,UAE,Verified,Low,2024-09-01
C0140,Vikram Doe,UAE,Verified,Medium,2024-05-25
C0141,Priya Kumar,India,Verified,Medium,2023-05-08
C0142,Rohan Kumar,Singapore,Verified,Medium,2023-07-04
C0143,Karan Joshi,UK,Verified,Low,2023-06-17
C0144,Sneha Gupta,UAE,Verified,High,2023-04-07
C0145,Vikram Joshi,India,Verified,Low,2024-03-28
C0146,Rahul Joshi,UAE,Rejected,Medium,2024-08-19
C0147,Vikram Verma,India,Pending,Low,2023-05-11
C0148,Amit Gupta,UK,Verified,Low,2023-08-12
C0149,Neha Sharma,USA,Verified,Low,2023-08-11
C0150,Priya Shah,UAE,Verified,Low,2023-09-26
C0151,Arjun Doe,UAE,Rejected,Low,2024-02-15
C0152,Rahul Kapoor,UAE,Pending,Medium,2024-06-03
C0153,Anita Sharma,India,Pending,Low,2023-12-28
C0154,Anita Sharma,Singapore,Verified,High,2024-11-04
C0155,Vikram Doe,UAE,Verified,High,2023-09-04
C0156,Sneha Sharma,Singapore,Verified,Medium,2023-11-28
C0157,Karan Patel,USA,Pending,Medium,2023-12-16
C0158,Vikram Kumar,UK,Verified,Low,2024-05-08
C0159,John Kapoor,India,Verified,Low,2025-01-30
C0160,Meera Sharma,USA,Verified,Medium,2024-12-15
C0161,Priya Joshi,USA,Pending,Medium,2023-10-14
C0162,Rahul Singh,Singapore,Verified,Medium,2024-02-03
C0163,Meera Verma,India,Pending,Medium,2024-03-17
C0164,Anita Singh,Singapore,Pending,Low,2024-09-22
C0165,Neha Doe,UK,Verified,Medium,2024-02-16
C0166,Karan Sharma,UAE,Pending,Medium,2024-01-14
C0167,Rohan Sharma,UK,Pending,Low,2024-05-11
C0168,John Singh,USA,Verified,Medium,2023-03-09
C0169,Rahul Singh,Singapore,Verified,Low,2024-07-17
C0170,Anita Gupta,India,Pending,Low,2024-11-19
C0171,John Kumar,Singapore,Verified,High,2024-08-28
C0172,John Patel,Singapore,Verified,Low,2023-09-12
C0173,Priya Verma,UK,Verified,Low,2024-10-20
C0174,Rohan Gupta,UAE,Verified,Low,2024-07-25
C0175,Neha Verma,Singapore,Verified,Medium,2024-07-29
C0176,Karan Verma,Singapore,Verified,Low,2024-04-09
C0177,Arjun Shah,USA,Verified,Low,2023-08-22
C0178,Priya Doe,USA,Verified,Medium,2024-06-03
C0179,Neha Patel,UAE,Verified,Low,2024-10-27
C0180,Vikram Singh,UK,Verified,Medium,2024-01-21
C0181,Meera Verma,UAE,Verified,Low,2023-05-04
C0182,Karan Shah,UAE,Verified,Medium,2024-05-27
C0183,Meera Patel,Singapore,Verified,Medium,2024-03-29
C0184,Rohan Patel,India,Verified,Medium,2023-09-28
C0185,Neha Kapoor,Singapore,Verified,Medium,2024-02-17
C0186,Meera Kapoor,UK,Verified,Low,2024-07-09
C0187,Meera Verma,Singapore,Pending,Medium,2024-04-22
C0188,Arjun Shah,UAE,Verified,Low,2024-11-11
C0189,Vikram Sharma,UK,Verified,Medium,2024-07-25
C0190,Meera Joshi,UAE,Verified,Medium,2024-03-14
C0191,Anita Patel,UAE,Verified,Low,2024-06-18
C0192,John Kumar,India,Pending,Low,2024-09-27
C0193,Priya Doe,India,Verified,Low,2023-03-28
C0194,Karan Kumar,India,Verified,Medium,2024-04-19
C0195,Vikram Singh,UAE,Pending,Low,2024-11-23
C0196,John Shah,Singapore,Verified,Medium,2025-01-16
C0197,Amit Joshi,India,Verified,Low,2023-07-16
C0198,Vikram Sharma,UAE,Pending,Low,2025-02-26
C0199,Karan Doe,USA,Verified,Low,2025-01-17
C0200,Rahul Singh,Singapore,Verified,Low,2024-03-03
